Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
England,E02002154,2,125,420,29.9%
England,E02002155,1,75,535,14.2%
England,E02002156,2,190,640,29.4%
England,E02002157,5,240,485,49.7%
England,E02002158,2,130,495,26.1%
England,E02002159,1,120,505,23.6%
England,E02002160,3,175,480,36.8%
England,E02002161,3,155,475,32.3%
England,E02002162,5,255,405,62.2%
England,E02002163,2,210,745,28.5%
England,E02002164,3,130,360,35.8%
England,E02002165,5,210,350,60.2%
England,E02002166,1,140,700,20.1%
England,E02002167,5,185,365,50.7%
England,E02002168,3,170,475,35.8%
England,E02002169,5,295,470,62.9%
England,E02002170,1,120,515,23.0%
England,E02002171,1,120,560,21.5%
England,E02002174,4,260,530,49.1%
England,E02002175,2,125,505,25.2%
England,E02002176,3,205,540,38.0%
England,E02002177,2,145,580,24.9%
England,E02002178,5,325,515,62.9%
England,E02002179,5,195,385,50.9%
England,E02002180,3,135,395,33.6%
England,E02002181,1,80,505,16.2%
England,E02002182,2,155,495,31.2%
England,E02002183,5,220,290,76.4%
England,E02002184,5,560,805,69.3%
England,E02002185,5,190,335,57.2%
England,E02002186,3,305,790,38.5%
England,E02002187,5,255,335,75.4%
England,E02002188,4,200,435,45.3%
England,E02002189,3,185,490,38.2%
England,E02002190,2,250,950,26.3%
England,E02002191,1,160,715,22.4%
England,E02002192,5,325,560,58.4%
England,E02002193,1,75,415,18.5%
England,E02002194,1,150,650,22.8%
England,E02002195,4,180,365,48.9%
England,E02002196,3,150,450,33.7%
England,E02002197,3,175,475,37.0%
England,E02002198,3,175,475,37.2%
England,E02002199,4,155,335,45.4%
England,E02002200,5,275,465,59.2%
England,E02002201,3,240,685,34.9%
England,E02002202,3,145,380,38.3%
England,E02002203,1,100,585,16.7%
England,E02002204,4,360,775,46.6%
England,E02002205,4,210,530,39.6%
England,E02002206,2,180,650,28.0%
England,E02002207,4,265,560,47.2%
England,E02002208,1,120,530,22.9%
England,E02002209,1,60,470,13.0%
England,E02002210,3,210,585,35.8%
England,E02002211,5,275,545,50.1%
England,E02002212,3,200,570,35.1%
England,E02002213,4,195,495,39.8%
England,E02002214,2,120,415,29.1%
England,E02002215,4,375,895,41.7%
England,E02002216,3,240,725,33.3%
England,E02002217,2,190,650,29.5%
England,E02002218,2,175,600,29.0%
England,E02002219,3,190,565,33.4%
England,E02002220,3,305,895,34.4%
England,E02002221,3,305,905,33.4%
England,E02002222,2,155,520,30.0%
England,E02002223,2,185,615,29.8%
England,E02002224,2,270,875,30.7%
England,E02002225,2,135,530,25.4%
England,E02002226,4,350,875,39.9%
England,E02002227,2,125,460,27.2%
England,E02002228,1,75,430,17.0%
England,E02002229,3,195,560,34.8%
England,E02002230,3,185,545,33.9%
England,E02002231,3,290,885,32.8%
England,E02002232,2,120,405,29.2%
England,E02002233,2,195,755,25.8%
England,E02002234,1,75,680,11.3%
England,E02002235,2,135,480,28.4%
England,E02002236,3,150,420,35.2%
England,E02002237,2,165,630,25.9%
England,E02002238,2,125,485,25.9%
England,E02002239,2,155,575,26.7%
England,E02002240,3,255,805,31.7%
England,E02002241,1,155,930,16.7%
England,E02002242,2,125,500,25.3%
England,E02002243,2,150,625,23.9%
England,E02002244,2,130,455,28.1%
England,E02002245,1,75,535,13.8%
England,E02002246,4,300,645,46.3%
England,E02002247,4,290,620,46.8%
England,E02002248,1,120,645,18.3%
England,E02002249,1,60,440,13.3%
England,E02002250,4,230,550,41.8%
England,E02002251,2,100,375,26.5%
England,E02002252,3,135,395,33.8%
England,E02002253,3,165,510,32.0%
England,E02002254,5,205,370,55.5%
England,E02002255,3,245,705,34.6%
England,E02002256,3,205,635,32.4%
England,E02002257,3,210,545,38.5%
England,E02002258,4,230,510,45.4%
England,E02002259,4,195,435,44.4%
England,E02002260,2,180,605,29.5%
England,E02002261,2,160,550,28.9%
England,E02002262,3,195,515,37.6%
England,E02002263,3,160,485,33.1%
England,E02002264,5,225,400,55.7%
England,E02002265,3,135,345,38.3%
England,E02002266,4,155,380,40.9%
England,E02002267,3,185,555,33.3%
England,E02002268,3,220,650,33.7%
England,E02002269,4,265,605,43.7%
England,E02002270,5,270,485,55.7%
England,E02002271,4,165,410,39.8%
England,E02002272,2,165,620,26.8%
England,E02002273,3,120,350,33.9%
England,E02002274,3,150,405,36.8%
England,E02002275,2,125,495,25.6%
England,E02002276,2,125,520,24.3%
England,E02002277,3,145,405,35.6%
England,E02002278,2,115,465,24.4%
England,E02002279,2,115,455,25.1%
England,E02002280,2,125,415,30.0%
England,E02002281,2,235,795,29.7%
England,E02002282,3,170,480,34.9%
England,E02002283,3,215,575,37.2%
England,E02002284,2,105,395,26.9%
England,E02002285,3,200,505,39.2%
England,E02002286,2,115,430,26.8%
England,E02002287,3,165,430,38.4%
England,E02002288,1,145,715,20.4%
England,E02002289,2,135,565,24.2%
England,E02002290,4,175,405,43.6%
England,E02002291,3,170,510,33.1%
England,E02002292,4,190,385,48.8%
England,E02002293,2,150,625,24.3%
England,E02002294,3,325,840,38.8%
England,E02002295,2,120,445,26.8%
England,E02002296,4,175,370,47.2%
England,E02002297,5,240,415,57.9%
England,E02002298,1,115,510,22.8%
England,E02002299,1,105,440,23.4%
England,E02002300,5,215,435,49.8%
England,E02002301,4,230,485,47.0%
England,E02002302,3,140,375,37.2%
England,E02002303,4,180,390,45.8%
England,E02002304,5,170,290,58.7%
England,E02002305,2,120,440,27.3%
England,E02002306,4,195,470,41.4%
England,E02002307,2,115,440,26.2%
England,E02002308,3,135,390,34.3%
England,E02002309,4,160,345,46.2%
England,E02002310,2,95,385,24.8%
England,E02002311,3,145,445,32.4%
England,E02002312,2,100,360,27.1%
England,E02002313,3,200,550,36.5%
England,E02002314,3,145,370,38.8%
England,E02002315,1,85,415,20.9%
England,E02002316,4,145,375,39.4%
England,E02002317,3,160,490,32.6%
England,E02002318,3,145,415,34.5%
England,E02002319,3,130,395,32.9%
England,E02002320,4,145,320,45.8%
England,E02002321,5,185,375,49.8%
England,E02002322,3,130,365,35.0%
England,E02002323,4,250,525,47.7%
England,E02002324,4,170,400,42.8%
England,E02002325,3,245,630,38.7%
England,E02002326,5,230,405,56.1%
England,E02002327,4,300,630,47.5%
England,E02002328,5,230,445,51.7%
England,E02002329,5,415,830,50.1%
England,E02002330,5,280,450,62.0%
England,E02002331,3,115,305,38.0%
England,E02002332,3,145,445,32.6%
England,E02002333,4,220,475,46.7%
England,E02002334,5,215,370,57.9%
England,E02002335,5,330,385,85.3%
England,E02002336,5,300,355,84.7%
England,E02002337,5,255,400,64.5%
England,E02002338,3,155,400,38.4%
England,E02002339,2,105,360,28.8%
England,E02002340,3,135,355,37.6%
England,E02002341,5,385,400,96.5%
England,E02002342,4,170,415,41.6%
England,E02002343,4,170,370,45.6%
England,E02002344,5,320,410,77.2%
England,E02002345,5,250,290,87.2%
England,E02002346,3,135,400,34.0%
England,E02002347,3,175,475,36.8%
England,E02002348,3,165,420,39.1%
England,E02002349,5,215,260,82.5%
England,E02002350,5,225,380,58.7%
England,E02002351,5,240,330,72.6%
England,E02002352,5,265,450,58.4%
England,E02002353,5,260,445,58.5%
England,E02002354,4,230,475,48.7%
England,E02002356,5,240,375,64.8%
England,E02002357,3,155,465,33.2%
England,E02002358,2,150,565,26.7%
England,E02002359,4,175,360,48.9%
England,E02002360,4,170,400,43.2%
England,E02002361,5,190,380,50.3%
England,E02002362,2,135,565,23.9%
England,E02002363,5,165,305,53.2%
England,E02002364,1,65,455,14.0%
England,E02002366,5,280,555,50.6%
England,E02002367,1,95,475,19.9%
England,E02002368,4,190,415,45.9%
England,E02002369,1,120,605,19.6%
England,E02002370,1,75,525,14.7%
England,E02002371,3,245,735,33.3%
England,E02002373,5,70,105,67.6%
England,E02002374,3,120,315,37.4%
England,E02002375,1,55,470,11.9%
England,E02002376,1,135,580,23.0%
England,E02002377,1,140,610,23.1%
England,E02002379,1,70,530,13.6%
England,E02002380,2,115,385,29.8%
England,E02002381,2,90,355,24.9%
England,E02002382,1,80,395,20.4%
England,E02002383,3,45,120,37.9%
England,E02002384,2,100,355,28.7%
England,E02002385,4,115,255,44.0%
England,E02002386,3,185,495,37.8%
England,E02002387,1,65,425,15.8%
England,E02002388,1,100,530,18.6%
England,E02002389,1,100,455,22.3%
England,E02002390,1,85,475,18.3%
England,E02002391,2,140,455,30.7%
England,E02002392,3,65,170,37.8%
England,E02002393,2,90,335,27.1%
England,E02002394,1,75,435,16.8%
England,E02002395,4,195,410,47.9%
England,E02002396,2,145,550,26.3%
England,E02002397,2,145,520,28.2%
England,E02002398,3,190,490,38.9%
England,E02002399,1,75,470,15.5%
England,E02002400,1,65,420,16.0%
England,E02002401,1,90,550,16.2%
England,E02002402,4,195,460,42.5%
England,E02002403,3,150,415,35.9%
England,E02002404,1,65,395,17.0%
England,E02002405,3,175,480,36.4%
England,E02002406,3,205,540,37.9%
England,E02002407,1,50,505,10.1%
England,E02002408,2,135,435,31.2%
England,E02002409,1,90,440,20.4%
England,E02002410,1,80,385,20.4%
England,E02002411,1,50,325,15.1%
England,E02002412,2,120,420,28.6%
England,E02002414,1,40,340,12.4%
England,E02002415,1,90,470,18.9%
England,E02002416,2,110,430,25.1%
England,E02002417,2,100,355,28.2%
England,E02002418,2,140,555,25.1%
England,E02002419,1,95,550,17.0%
England,E02002420,2,130,500,26.5%
England,E02002421,1,70,525,13.7%
England,E02002422,3,140,390,35.7%
England,E02002423,1,60,420,14.1%
England,E02002424,2,155,520,29.5%
England,E02002425,3,155,460,33.4%
England,E02002426,3,175,515,34.4%
England,E02002427,2,120,480,24.9%
England,E02002428,1,80,420,18.9%
England,E02002429,2,160,535,30.1%
England,E02002430,1,80,655,12.0%
England,E02002431,2,140,505,27.9%
England,E02002432,2,140,490,28.4%
England,E02002433,2,75,290,26.0%
England,E02002434,2,150,520,28.9%
England,E02002435,3,180,490,37.1%
England,E02002436,2,145,465,30.6%
England,E02002437,4,240,505,47.5%
England,E02002438,1,85,645,12.9%
England,E02002439,1,105,455,22.9%
England,E02002440,1,110,630,17.6%
England,E02002441,1,100,555,18.3%
England,E02002442,2,140,520,26.9%
England,E02002443,3,165,420,39.2%
England,E02002444,3,130,345,37.9%
England,E02002445,3,160,480,33.4%
England,E02002446,3,160,430,37.5%
England,E02002447,1,80,415,19.5%
England,E02002448,1,75,580,12.9%
England,E02002449,2,145,580,25.1%
England,E02002450,2,155,490,31.6%
England,E02002451,4,210,445,47.5%
England,E02002452,2,130,470,27.7%
England,E02002453,1,125,640,19.5%
England,E02002454,3,130,385,34.0%
England,E02002455,1,95,525,18.3%
England,E02002456,3,125,360,34.8%
England,E02002457,1,80,510,15.6%
England,E02002458,2,175,565,31.1%
England,E02002459,2,170,690,24.8%
England,E02002460,4,205,470,43.7%
England,E02002461,2,180,685,26.0%
England,E02002462,3,160,440,36.1%
England,E02002463,1,135,810,16.4%
England,E02002464,1,95,610,15.9%
England,E02002465,4,120,305,40.1%
England,E02002466,2,170,540,31.3%
England,E02002467,1,120,510,23.2%
England,E02002468,3,135,370,35.9%
England,E02002469,2,145,475,30.7%
England,E02002470,5,235,285,82.6%
England,E02002471,4,270,555,48.3%
England,E02002472,4,135,345,39.3%
England,E02002473,3,145,410,35.3%
England,E02002474,2,115,445,25.7%
England,E02002475,5,185,315,58.3%
England,E02002476,1,85,545,15.2%
England,E02002477,1,95,450,20.7%
England,E02002478,2,110,400,27.8%
England,E02002479,2,165,585,27.8%
England,E02002480,1,85,380,22.3%
England,E02002481,1,100,455,21.6%
England,E02002482,1,105,535,19.7%
England,E02002483,3,215,630,33.8%
England,E02002484,1,145,815,18.1%
England,E02002485,1,145,690,20.8%
England,E02002487,2,80,330,23.8%
England,E02002488,4,230,475,48.2%
England,E02002489,2,160,580,27.5%
England,E02002490,1,115,495,23.5%
England,E02002491,1,120,535,22.7%
England,E02002492,2,115,430,27.0%
England,E02002493,4,200,470,42.3%
England,E02002494,1,125,675,18.8%
England,E02002496,2,145,585,24.6%
England,E02002497,1,85,475,18.4%
England,E02002498,1,90,485,18.6%
England,E02002499,1,100,675,15.0%
England,E02002500,3,145,395,36.0%
England,E02002501,1,95,425,22.5%
England,E02002502,1,150,815,18.2%
England,E02002503,1,125,595,21.2%
England,E02002504,4,305,730,42.0%
England,E02002505,1,85,585,14.3%
England,E02002506,1,90,485,18.3%
England,E02002507,4,200,455,43.8%
England,E02002508,4,170,355,47.7%
England,E02002509,1,90,380,23.4%
England,E02002510,3,140,390,35.7%
England,E02002512,5,180,335,53.6%
England,E02002513,2,155,630,24.7%
England,E02002514,3,265,700,38.0%
England,E02002515,2,115,435,25.9%
England,E02002516,1,120,520,23.5%
England,E02002517,1,100,440,22.8%
England,E02002518,3,345,890,39.1%
England,E02002519,2,140,520,27.1%
England,E02002520,4,370,890,41.3%
England,E02002521,4,155,360,42.9%
England,E02002523,1,70,580,12.4%
England,E02002524,2,110,385,28.7%
England,E02002525,1,145,605,23.6%
England,E02002526,2,155,510,30.2%
England,E02002527,1,45,435,10.6%
England,E02002529,2,125,400,31.2%
England,E02002530,1,110,480,23.1%
England,E02002532,2,125,425,29.1%
England,E02002533,4,170,385,44.8%
England,E02002534,4,170,355,48.8%
England,E02002535,4,335,830,40.4%
England,E02002536,2,175,635,27.5%
England,E02002537,1,120,780,15.7%
England,E02002538,2,115,435,26.4%
England,E02002539,5,335,555,60.2%
England,E02002540,4,170,360,47.4%
England,E02002541,2,125,405,31.2%
England,E02002542,1,115,680,16.9%
England,E02002543,1,110,610,18.4%
England,E02002544,1,110,515,21.7%
England,E02002545,3,135,375,35.3%
England,E02002546,1,145,725,20.3%
England,E02002547,4,185,445,41.7%
England,E02002548,1,160,700,22.6%
England,E02002549,4,235,565,41.3%
England,E02002550,4,200,430,46.3%
England,E02002551,2,85,325,26.6%
England,E02002552,1,105,525,19.6%
England,E02002553,2,90,360,24.9%
England,E02002554,1,80,425,19.2%
England,E02002555,5,360,700,51.8%
England,E02002556,4,300,620,48.2%
England,E02002557,4,480,980,48.9%
England,E02002558,5,360,625,58.0%
England,E02002559,5,260,460,56.7%
England,E02002560,3,145,445,33.0%
England,E02002561,4,160,400,39.6%
England,E02002562,2,110,450,24.1%
England,E02002563,1,75,375,19.5%
England,E02002564,2,175,730,24.0%
England,E02002565,2,105,340,31.3%
England,E02002566,2,95,360,27.1%
England,E02002567,1,90,475,18.7%
England,E02002568,5,245,345,71.0%
England,E02002569,5,350,555,62.8%
England,E02002570,1,115,500,23.1%
England,E02002571,1,75,410,18.0%
England,E02002572,1,105,450,23.2%
England,E02002573,4,235,495,48.0%
England,E02002574,5,235,470,50.5%
England,E02002575,5,390,765,51.3%
England,E02002576,3,160,470,33.5%
England,E02002577,1,130,555,23.2%
England,E02002578,2,185,645,28.9%
England,E02002579,1,140,650,21.7%
England,E02002580,1,110,540,20.0%
England,E02002581,3,175,500,35.1%
England,E02002582,4,275,575,47.5%
England,E02002583,1,85,525,16.4%
England,E02002584,1,140,605,22.8%
England,E02002585,1,150,655,22.8%
England,E02002586,1,110,830,13.2%
England,E02002587,1,90,495,18.4%
England,E02002588,1,125,585,21.4%
England,E02002589,3,150,385,38.9%
England,E02002590,5,290,470,61.4%
England,E02002591,4,185,420,43.9%
England,E02002592,3,150,410,36.7%
England,E02002593,4,145,350,41.8%
England,E02002594,2,110,415,26.1%
England,E02002595,1,115,650,17.7%
England,E02002596,3,190,555,34.3%
England,E02002597,1,110,700,15.5%
England,E02002598,5,315,605,51.9%
England,E02002599,5,440,860,50.9%
England,E02002600,1,150,660,22.6%
England,E02002601,3,185,565,32.3%
England,E02002602,1,90,505,17.5%
England,E02002603,3,195,590,33.3%
England,E02002604,4,245,555,44.3%
England,E02002605,3,220,690,32.0%
England,E02002606,1,105,450,22.8%
England,E02002607,2,130,475,27.6%
England,E02002608,4,245,580,42.4%
England,E02002609,1,90,540,17.1%
England,E02002610,5,485,830,58.4%
England,E02002611,5,320,595,54.1%
England,E02002612,5,285,565,51.0%
England,E02002613,5,310,495,63.0%
England,E02002614,5,350,470,74.9%
England,E02002615,4,275,585,46.6%
England,E02002616,5,375,600,62.3%
England,E02002617,4,345,705,48.8%
England,E02002618,5,330,600,55.4%
England,E02002619,4,285,615,46.5%
England,E02002620,4,250,530,47.2%
England,E02002621,4,295,695,42.2%
England,E02002622,1,180,830,21.8%
England,E02002623,1,165,720,22.8%
England,E02002624,5,335,550,60.4%
England,E02002625,2,230,825,28.0%
England,E02002626,2,170,575,29.8%
England,E02002627,3,215,550,38.9%
England,E02002628,3,185,470,39.3%
England,E02002629,1,80,395,20.1%
England,E02002630,2,140,440,31.5%
England,E02002631,4,260,615,42.1%
England,E02002632,5,255,420,60.9%
England,E02002633,3,185,480,38.2%
England,E02002634,4,215,540,39.8%
England,E02002635,4,205,470,44.2%
England,E02002636,2,180,575,31.3%
England,E02002637,3,155,475,32.9%
England,E02002638,2,110,380,28.3%
England,E02002639,1,80,445,18.4%
England,E02002640,1,85,525,16.0%
England,E02002641,4,215,530,40.3%
England,E02002642,2,120,385,30.7%
England,E02002643,2,150,535,28.1%
England,E02002644,3,200,535,37.2%
England,E02002645,1,80,370,21.0%
England,E02002646,1,105,455,23.5%
England,E02002647,1,130,575,23.0%
England,E02002648,2,130,495,26.1%
England,E02002649,3,195,540,35.9%
England,E02002650,4,190,470,39.9%
England,E02002651,3,200,535,37.9%
England,E02002652,1,165,805,20.8%
England,E02002653,1,110,830,13.0%
England,E02002654,1,80,720,11.2%
England,E02002655,1,105,805,13.2%
England,E02002656,2,75,255,29.5%
England,E02002657,1,130,560,22.8%
England,E02002658,2,150,475,31.3%
England,E02002659,1,135,995,13.8%
England,E02002660,1,100,525,19.2%
England,E02002661,1,110,560,19.5%
England,E02002662,1,125,530,23.3%
England,E02002663,4,130,330,39.5%
England,E02002664,3,210,660,32.0%
England,E02002665,4,255,645,39.7%
England,E02002666,2,70,290,24.7%
England,E02002667,2,115,425,26.7%
England,E02002668,1,75,755,10.2%
England,E02002669,5,175,350,49.8%
England,E02002670,2,150,555,27.0%
England,E02002671,2,150,625,24.2%
England,E02002672,1,65,640,10.3%
England,E02002673,1,100,525,19.2%
England,E02002674,2,100,420,24.1%
England,E02002675,1,80,470,17.5%
England,E02002676,2,140,445,31.6%
England,E02002677,1,75,390,19.1%
England,E02002678,1,105,515,20.5%
England,E02002679,2,165,545,30.2%
England,E02002680,2,75,255,28.8%
England,E02002681,1,75,550,13.8%
England,E02002682,1,100,630,16.2%
England,E02002684,2,140,480,29.1%
